question,choice_1,choice_2
swipe1_t_m_a,10_m_nonsmile_nike,14_m_nonsmile_tjs
swipe2_t_m_a,16_m_smile_none,3_m_smile_nike
,,
,,
,3_f_smile_none,
,8_f_nonsmile_tjs,
,4_f_nonsmile_none,
,15_f_nonsmile_tjs,
,9_f_smile_none,
,5_f_smile_nike,
,17_m_smile_none,
,18_m_nonsmile_tjs,
,7_f_smile_none,
,10_f_smile_tjs,
,15_m_nonsmile_none,
,2_m_nonsmile_tjs,
,1_m_smile_nike,
,5_m_nonsmile_none,
,6_f_nonesmile_nike,
,12_f_nonsmile_tjs,
,6_m_smile_nike,
,13_m_nonsmile_none,
,2_f_nonsmile_none,
,1_f_smile_nike,
,14_f_smile_nike,
,13_f_nonsmile_none,
,19_m_smile_none,
,12_m_smile_tjs,
,11_f_smile_nike,
,13_f_smile_tjs,
,3_f_nonsmile_none,
,5_f_smile_none,
,1_f_smile_tjs,
,6_m_smile_none,
,18_m_smile_tjs,
,4_m_smile_tjs,
,13_m_smile_nike,
,2_f_nonsmile_nike,
,7_m_nonsmile_tjs,
,9_m_nonsmile_none,
,3_m_smile_tjs,
,11_m_nonsmile_nike,
,1_m_smile_tjs,
,12_f_smile_tjs,
,14_f_nonsmile_nike,
,9_f_smile_nike,
,6_f_nonsmile_none,
,7_f_smile_tjs,
,16_m_smile_nike,
,14_m_nonsmile_none,
,2_m_nonsmile_none,
,19_m_smile_tjs,
,14_f_nonsmile_tjs,
,10_f_smile_nike,
,6_m_nonsmile_nike,
,7_f_nonsmile_nike,
,11_f_nonsmile_none,
,15_m_nonsmile_tjs,
,1_m_smile_none,
,12_f_smile_nike,
,12_m_nonsmile_nike,
,8_m_smile_tjs,
,1_f_nonsmile_nike,
,4_m_nonsmile_tjs,
,7_m_smile_nike,
,11_m_nonsmile_tjs,
,9_m_smile_nike,
,5_f_nonsmile_tjs,
,3_f_nonsmile_nike,
,17_m_smile_nike,
,16_m_nonsmile_nike,
,5_m_smile_nike,
,7_f_smile_nike,
,10_f_smile_none,
,8_f_smile_tjs,
,6_f_smile_none,
,4_f_smile_tjs,
,13_m_nonsmile_tjs,
,15_m_nonsmile_nike,
,1_f_smile_none,
,12_m_nonsmile_none,
,11_m_smile_tjs,
,15_f_smile_tjs,
,2_f_nonsmile_tjs,
,6_m_nonsmile_none,
,10_m_nonsmile_none,
