question,winning_count,losing_count,winner,loser,choice_1,choice_2,winner_smile,winner_tjs,winner_nike,winner_none,winner_man,treat,block_a,block_b,block_d,better_be_ones
swipe10_c_f_a,31,0,6_f_nonesmile_none,12_f_nonsmile_none,6_f_nonesmile_none,12_f_nonsmile_none,0,0,0,1,0,0,1,0,0,1
swipe10_c_f_b,32,0,12_f_smile_none,14_f_nonsmile_none,14_f_nonsmile_none,12_f_smile_none,1,0,0,1,0,0,0,1,0,1
swipe10_c_f_c,30,0,1_f_nonsmile_none,1_f_nonsmile_none,8_f_nonsmile_none,1_f_nonsmile_none,0,0,0,1,0,0,0,0,0,1
swipe10_c_m_d,31,0,11_m_smile_none,12_m_nonsmile_none,12_m_nonsmile_none,11_m_smile_none,1,0,0,1,1,0,0,0,1,1
swipe11_c_f_b,32,0,9_f_smile_none,4_f_nonsmile_none,4_f_nonsmile_none,9_f_smile_none,1,0,0,1,0,0,0,1,0,1
swipe11_c_m_a,31,0,13_m_nonsmile_none,6_m_smile_none,6_m_smile_none,13_m_nonsmile_none,0,0,0,1,1,0,1,0,0,1
swipe11_c_m_c,30,0,4_m_nonsmile_none,7_m_smile_none,7_m_smile_none,4_m_nonsmile_none,0,0,0,1,1,0,0,0,0,1
swipe12_c_f_a,31,0,2_f_nonsmile_none,1_f_smile_none,2_f_nonsmile_none,1_f_smile_none,0,0,0,1,0,0,1,0,0,1
swipe12_c_f_b,32,0,6_f_nonsmile_none,7_f_smile_none,7_f_smile_none,6_f_nonsmile_none,0,0,0,1,0,0,0,1,0,1
swipe12_c_f_d,31,0,2_f_nonsmile_none,9_f_smile_none,9_f_smile_none,2_f_nonsmile_none,0,0,0,1,0,0,0,0,1,1
swipe12_c_m_c,30,0,11_m_nonsmile_none,9_m_smile_none,9_m_smile_none,11_m_nonsmile_none,0,0,0,1,1,0,0,0,0,1
swipe13_c_f_a,31,0,13_f_nonsmile_none,14_f_smile_none,14_f_smile_none,13_f_nonsmile_none,0,0,0,1,0,0,1,0,0,1
swipe13_c_f_c,30,0,5_f_nonsmile_none,3_f_nonsmile_none,3_f_nonsmile_none,5_f_nonsmile_none,0,0,0,1,0,0,0,0,0,1
swipe13_c_m_b,32,0,16_m_smile_none,14_m_nonsmile_none,14_m_nonsmile_none,16_m_smile_none,1,0,0,1,1,0,0,1,0,1
swipe13_c_m_d,31,0,1_m_smile_none,6_m_nonsmile_none,6_m_nonsmile_none,1_m_smile_none,1,0,0,1,1,0,0,0,1,1
swipe14_c_m_a,31,0,19_m_smile_none,19_m_smile_none,19_m_smile_none,12_m_smile_none,1,0,0,1,1,0,1,0,0,1
swipe14_c_m_b,32,0,2_m_smile_none,19_m_smile_none,19_m_smile_none,2_m_nonsmile_none,1,0,0,1,1,0,0,1,0,1
swipe14_c_m_c,30,0,17_m_smile_none,3_m_smile_none,3_m_smile_none,17_m_smile_none,1,0,0,1,1,0,0,0,0,1
swipe14_c_m_d,31,0,10_m_nonsmile_none,7_m_smile_none,7_m_smile_none,10_m_nonsmile_none,0,0,0,1,1,0,0,0,1,1
swipe1_c_f_b,32,0,13_f_smile_none,11_f_smile_none,11_f_smile_none,13_f_smile_none,1,0,0,1,0,0,0,1,0,1
swipe1_c_f_c,30,0,14_f_nonsmile_none,10_f_smile_none,10_f_smile_none,14_f_nonsmile_none,0,0,0,1,0,0,0,0,0,1
swipe1_c_m_a,31,0,10_m_nonsmile_none,14_m_nonsmile_none,10_m_nonsmile_none,14_m_nonsmile_none,0,0,0,1,1,0,1,0,0,1
swipe1_c_m_d,31,0,3_m_smile_none,16_m_nonsmile_none,16_m_nonsmile_none,3_m_smile_none,1,0,0,1,1,0,0,0,1,1
swipe2_c_f_b,32,0,8_f_nonsmile_none,3_f_nonsmile_none,3_f_nonsmile_none,8_f_nonsmile_none,0,0,0,1,0,0,0,1,0,1
swipe2_c_m_a,31,0,3_m_smile_none,16_m_smile_none,16_m_smile_none,3_m_smile_none,1,0,0,1,1,0,1,0,0,1
swipe2_c_m_c,30,0,6_m_nonsmile_none,16_m_smile_none,16_m_smile_none,6_m_nonsmile_none,0,0,0,1,1,0,0,0,0,1
swipe2_c_m_d,31,0,5_m_smile_none,2_m_nonsmile_none,2_m_nonsmile_none,5_m_smile_none,1,0,0,1,1,0,0,0,1,1
swipe3_c_f_a,31,0,8_f_nonsmile_none,3_f_smile_none,3_f_smile_none,8_f_nonsmile_none,0,0,0,1,0,0,1,0,0,1
swipe3_c_f_b,32,0,5_f_smile_none,1_f_smile_none,5_f_smile_none,1_f_smile_none,1,0,0,1,0,0,0,1,0,1
swipe3_c_f_c,30,0,7_f_nonsmile_none,6_f_smile_none,6_f_smile_none,7_f_nonsmile_none,0,0,0,1,0,0,0,0,0,1
swipe3_c_f_d,31,0,7_f_smile_none,5_f_nonsmile_none,5_f_nonsmile_none,7_f_smile_none,1,0,0,1,0,0,0,0,1,1
swipe4_c_f_a,31,0,4_f_nonsmile_none,4_f_nonsmile_none,4_f_nonsmile_none,15_f_nonsmile_none,0,0,0,1,0,0,1,0,0,1
swipe4_c_f_c,30,0,13_f_smile_none,13_f_smile_none,11_f_nonsmile_none,13_f_smile_none,1,0,0,1,0,0,0,0,0,1
swipe4_c_f_d,31,0,12_f_smile_none,13_f_nonsmile_none,13_f_nonsmile_none,12_f_smile_none,1,0,0,1,0,0,0,0,1,1
swipe4_c_m_b,32,0,6_m_smile_none,18_m_smile_none,6_m_smile_none,18_m_smile_none,1,0,0,1,1,0,0,1,0,1
swipe5_c_f_a,31,0,5_f_smile_none,9_f_smile_none,9_f_smile_none,5_f_smile_none,1,0,0,1,0,0,1,0,0,1
